"user_id", "artistname","trackname","playlistname"
"c50566d83fba17b20697039d5824db78","Solander","Tuuli","April 2014"
"c50566d83fba17b20697039d5824db78","Angel Olsen","Unfucktheworld","April 2014"
"c50566d83fba17b20697039d5824db78","Den svenska björnstammen","Vinter","April 2014"
"c50566d83fba17b20697039d5824db78","Kent","Vy från ett luftslott - Punks Jump Up Remix","April 2014"
"c50566d83fba17b20697039d5824db78","Den svenska björnstammen","Världen fattar fel","April 2014"
"c50566d83fba17b20697039d5824db78","Susanne Sundfør","Walls","April 2014"
"c50566d83fba17b20697039d5824db78","The Weeknd","Wanderlust","April 2014"
"c50566d83fba17b20697039d5824db78","Todd Rundgren","We Gotta Get You A Woman","April 2014"
"c50566d83fba17b20697039d5824db78","My Chemical Romance","Welcome To The Black Parade","April 2014"
"c50566d83fba17b20697039d5824db78","Lana Del Rey","West Coast - Rob Orton Mix","April 2014"
"c50566d83fba17b20697039d5824db78","Glasvegas","Whatever Hurts You Through the Night","April 2014"
"c50566d83fba17b20697039d5824db78","Angel Olsen","White Fire","April 2014"
"c50566d83fba17b20697039d5824db78","Susanne Sundfør","White Foxes","April 2014"
"c50566d83fba17b20697039d5824db78","Hozier","Work Song","April 2014"
"c50566d83fba17b20697039d5824db78","Amason","Ålen","April 2014"
"c50566d83fba17b20697039d5824db78","Vånna Inget","Allvar","August 2014"
"c50566d83fba17b20697039d5824db78","Green Day","Android","August 2014"
"c50566d83fba17b20697039d5824db78","Nina Persson","Animal Heart","August 2014"
"c50566d83fba17b20697039d5824db78","Makthaverskan","Antabus","August 2014"
"c50566d83fba17b20697039d5824db78","Mike Mogis","At Your Door - feat. Big Harp","August 2014"
"c50566d83fba17b20697039d5824db78","The 2 Bears","Bear Hug","August 2014"
"c50566d83fba17b20697039d5824db78","Noah And The Whale","Blue Skies","August 2014"
"c50566d83fba17b20697039d5824db78","Broods","Bridges","August 2014"
"c50566d83fba17b20697039d5824db78","Nina Persson","Clip Your Wings","August 2014"
"c50566d83fba17b20697039d5824db78","ABBA","Dance (While The Music Still Goes On)","August 2014"
"c50566d83fba17b20697039d5824db78","Nina Persson","Dreaming Of Houses","August 2014"
"c50566d83fba17b20697039d5824db78","Trent Dabbs","Follow Suit","August 2014"
"c50566d83fba17b20697039d5824db78","The American Analog Set","Hard to Find","August 2014"
"c50566d83fba17b20697039d5824db78","Noah And The Whale","I Have Nothing","August 2014"
"c50566d83fba17b20697039d5824db78","AronChupa","I'm an Albatraoz","August 2014"
"c50566d83fba17b20697039d5824db78","Noah And The Whale","Instrumental I","August 2014"
"c50566d83fba17b20697039d5824db78","Noah And The Whale","Instrumental II","August 2014"
"c50566d83fba17b20697039d5824db78","Jai Paul","Jasmine","August 2014"
"c50566d83fba17b20697039d5824db78","alt-J","Left Hand Free","August 2014"
"c50566d83fba17b20697039d5824db78","Noah And The Whale","Love Of An Orchestra","August 2014"
"c50566d83fba17b20697039d5824db78","Noah And The Whale","My Broken Heart","August 2014"
"c50566d83fba17b20697039d5824db78","Noah And The Whale","My Door Is Always Open","August 2014"
"c50566d83fba17b20697039d5824db78","The Cardigans","My Favourite Game","August 2014"
"c50566d83fba17b20697039d5824db78","Nordpolen","När mitt blod pumpar i dej","August 2014"
"c50566d83fba17b20697039d5824db78","Noah And The Whale","Our Window","August 2014"
"c50566d83fba17b20697039d5824db78","Broder Daniel","Out Of This Town","August 2014"
"c50566d83fba17b20697039d5824db78","Louis Prima","Pennies From Heaven","August 2014"
"c50566d83fba17b20697039d5824db78","The Intelligence","Reading And Writing About Partying","August 2014"
"c50566d83fba17b20697039d5824db78","Noah And The Whale","Slow Glass","August 2014"
"c50566d83fba17b20697039d5824db78","Lena Horne","Someday Sweetheart","August 2014"
"c50566d83fba17b20697039d5824db78","Noah And The Whale","Stranger","August 2014"
