"user_id","artistname","trackname","playlistname"
"c50566d83fba17b20697039d5824db78","Arctic Monkeys","505","October 2013"
"c50566d83fba17b20697039d5824db78","The Naked And Famous","A Stillness","October 2013"
"c50566d83fba17b20697039d5824db78","Azealia Banks","ATM Jam","October 2013"
"c50566d83fba17b20697039d5824db78","Miley Cyrus","Adore You","October 2013"
"c50566d83fba17b20697039d5824db78","The Airborne Toxic Event","All At Once","October 2013"
"c50566d83fba17b20697039d5824db78","Icona Pop","All Night","October 2013"
"c50566d83fba17b20697039d5824db78","Jonathan Johansson","Alla färger","October 2013"
"c50566d83fba17b20697039d5824db78","The Damned","Amen","October 2013"
"c50566d83fba17b20697039d5824db78","Bring Me The Horizon","And the Snakes Start to Sing","October 2013"
"c50566d83fba17b20697039d5824db78","Twiggy Frostbite","Angels","October 2013"
"c50566d83fba17b20697039d5824db78","Patti Smith","April Fool","October 2013"
"c50566d83fba17b20697039d5824db78","Mogwai","Auto Rock","October 2013"
"c50566d83fba17b20697039d5824db78","LIGHTS","Banner","October 2013"
"c50566d83fba17b20697039d5824db78","Simian Ghost","Be My Wife","October 2013"
"c50566d83fba17b20697039d5824db78","Patti Smith","Birdland - Digitally Remastered 1996","October 2013"
"c50566d83fba17b20697039d5824db78","Moonface","Black Is Back In Style","October 2013"
"c50566d83fba17b20697039d5824db78","Dawn Golden And Rosy Cross","Blacks","October 2013"
"c50566d83fba17b20697039d5824db78","Dirty Pretty Things","Blood Thirsty Bastards","October 2013"
"c50566d83fba17b20697039d5824db78","James Blunt","Bonfire Heart","October 2013"
"c50566d83fba17b20697039d5824db78","Patti Smith","Break It Up - Digitally Remastered 1996","October 2013"
"c50566d83fba17b20697039d5824db78","The Airborne Toxic Event","Bride & Groom","October 2013"
"c50566d83fba17b20697039d5824db78","Marina and The Diamonds","Buy The Stars","October 2013"
"c50566d83fba17b20697039d5824db78","Twiggy Frostbite","By The Ocean","October 2013"
"c50566d83fba17b20697039d5824db78","El Perro Del Mar","Change Of Heart","October 2013"
"c50566d83fba17b20697039d5824db78","Two Door Cinema Club","Changing Of The Seasons - Alternative Edit","October 2013"
"c50566d83fba17b20697039d5824db78","Harto","Cheese Pleasin' Me","October 2013"
"c50566d83fba17b20697039d5824db78","Ha Ha Tonka","Colorful Kids","October 2013"
"c50566d83fba17b20697039d5824db78","Cage The Elephant","Come a Little Closer","October 2013"
"c50566d83fba17b20697039d5824db78","Emanuel and the Fear","Comfortable Prison","October 2013"
"c50566d83fba17b20697039d5824db78","Jenny Wilson","Common Around Here","October 2013"
"c50566d83fba17b20697039d5824db78","Joyce Manor","Constant Headache","October 2013"
"c50566d83fba17b20697039d5824db78","Fryars","Cool Like Me","October 2013"
"c50566d83fba17b20697039d5824db78","Bass Drum Of Death","Crawling After You","October 2013"
"c50566d83fba17b20697039d5824db78","Army Navy","Dark as Days","October 2013"
"c50566d83fba17b20697039d5824db78","Dido","Don't Believe in Love","October 2013"
"c50566d83fba17b20697039d5824db78","Bear's Den","Don't Let the Sun Steal You Away","October 2013"
"c50566d83fba17b20697039d5824db78","The Depreciation Guild","Dream About Me","October 2013"
"c50566d83fba17b20697039d5824db78","The Cars","Drive","October 2013"
"c50566d83fba17b20697039d5824db78","Anton Kristiansson","Du Är Knark","October 2013"
"c50566d83fba17b20697039d5824db78","Veronica Maggio","Dumpa mig - Radio Version","October 2013"
"c50566d83fba17b20697039d5824db78","Marie Fredriksson","Efter stormen","October 2013"
"c50566d83fba17b20697039d5824db78","Dido","End of Night","October 2013"
"c50566d83fba17b20697039d5824db78","Woe, Is Me","Fame>Demise [acoustic]","October 2013"
"c50566d83fba17b20697039d5824db78","Goldroom","Fifteen","October 2013"
"c50566d83fba17b20697039d5824db78","Navet","For the show (Familjen remix)","October 2013"
"c50566d83fba17b20697039d5824db78","Haim","Forever","October 2013"
"c50566d83fba17b20697039d5824db78","Patti Smith","Free Money - Digitally Remastered 1996","October 2013"
"c50566d83fba17b20697039d5824db78","Pearl Jam","Getaway","October 2013"
"c50566d83fba17b20697039d5824db78","Dido","Girl Who Got Away","October 2013"
"c50566d83fba17b20697039d5824db78","Half Moon Run","Give Up","October 2013"
"c50566d83fba17b20697039d5824db78","Alex Turner","Glass in the park","October 2013"
"c50566d83fba17b20697039d5824db78","Patti Smith","Gloria - Digitally Remastered 1996","October 2013"
"c50566d83fba17b20697039d5824db78","The Gaslight Anthem","Great Expectations","October 2013"
"c50566d83fba17b20697039d5824db78","[ingenting]","Halleluja!","October 2013"
"c50566d83fba17b20697039d5824db78","Caspian","Halls Of The Summer","October 2013"
"c50566d83fba17b20697039d5824db78","The Naked And Famous","Hearts Like Ours","October 2013"
"c50566d83fba17b20697039d5824db78","The Smiths","Heaven Knows I'm Miserable Now (2008 Remastered Version)","October 2013"
"c50566d83fba17b20697039d5824db78","Placebo","Hold On To Me","October 2013"
"c50566d83fba17b20697039d5824db78","Lars Winnerbäck","Hosianna","October 2013"
"c50566d83fba17b20697039d5824db78","Veronica Maggio","Hädanefter","October 2013"
"c50566d83fba17b20697039d5824db78","Simon & Garfunkel","I Am a Rock","October 2013"
"c50566d83fba17b20697039d5824db78","The Belle Brigade","I Didn't Mean It","October 2013"
"c50566d83fba17b20697039d5824db78","Eels","I Need Some Sleep","October 2013"
"c50566d83fba17b20697039d5824db78","Dr. Dog","I Only Wear Blue","October 2013"
"c50566d83fba17b20697039d5824db78","Pearl Jam","Infallible","October 2013"
"c50566d83fba17b20697039d5824db78","The Airborne Toxic Event","It Doesn't Mean A Thing","October 2013"
"c50566d83fba17b20697039d5824db78","Touché Amoré","Just Exist","October 2013"
"c50566d83fba17b20697039d5824db78","Childish Gambino","Kids","October 2013"
"c50566d83fba17b20697039d5824db78","Lou Reed","Kill Your Sons","October 2013"
"c50566d83fba17b20697039d5824db78","Patti Smith","Kimberly - Digitally Remastered 1996","October 2013"
"c50566d83fba17b20697039d5824db78","Simian Ghost","Kneel to Kim","October 2013"
"c50566d83fba17b20697039d5824db78","Childish Gambino","L.E.S","October 2013"
"c50566d83fba17b20697039d5824db78","Patti Smith","Land - Digitally Remastered 1996","October 2013"
"c50566d83fba17b20697039d5824db78","Matt Corby","Lay You Down","October 2013"
"c50566d83fba17b20697039d5824db78","Matt and Kim","Lessons Learned","October 2013"
"c50566d83fba17b20697039d5824db78","Dive In","Let Go","October 2013"
"c50566d83fba17b20697039d5824db78","Simple Minds","Let There Be Love - 2002 Digital Remaster","October 2013"
"c50566d83fba17b20697039d5824db78","Dido","Life for Rent","October 2013"
"c50566d83fba17b20697039d5824db78","Vit Päls","Livet Är Underbart","October 2013"
"c50566d83fba17b20697039d5824db78","Marina and The Diamonds","Lonely Hearts Club","October 2013"
"c50566d83fba17b20697039d5824db78","Sin Fang","Look At The Light","October 2013"
"c50566d83fba17b20697039d5824db78","King Tuff","Loser's Wall","October 2013"
"c50566d83fba17b20697039d5824db78","The Belle Brigade","Losers","October 2013"
"c50566d83fba17b20697039d5824db78","John Newman","Losing Sleep","October 2013"
"c50566d83fba17b20697039d5824db78","Oh Land","Love A Man Dead","October 2013"
"c50566d83fba17b20697039d5824db78","Amy Winehouse","Love Is A Losing Game","October 2013"
"c50566d83fba17b20697039d5824db78","Vit Päls","Loving You Was Crazy Shit","October 2013"
"c50566d83fba17b20697039d5824db78","The Chain Gang Of 1974","Miko","October 2013"
"c50566d83fba17b20697039d5824db78","Veronica Maggio","Mitt Hjärta Blöder","October 2013"
"c50566d83fba17b20697039d5824db78","Pink Floyd","Money - 2011 Remastered Version","October 2013"
"c50566d83fba17b20697039d5824db78","Dire Straits","Money For Nothing","October 2013"
"c50566d83fba17b20697039d5824db78","Lars Winnerbäck","Monsterteorin","October 2013"
"c50566d83fba17b20697039d5824db78","The Jungle Giants","Mr Polite","October 2013"
"c50566d83fba17b20697039d5824db78","Lloyd Cole And The Commotions","My Bag","October 2013"
"c50566d83fba17b20697039d5824db78","Bear's Den","My Lair","October 2013"
"c50566d83fba17b20697039d5824db78","Haim","My Song 5","October 2013"
"c50566d83fba17b20697039d5824db78","Guided By Voices","My Valuable Hunting Knife","October 2013"
"c50566d83fba17b20697039d5824db78","Veronica Maggio","Mörkt","October 2013"
"c50566d83fba17b20697039d5824db78","John Mayer","Neon","October 2013"
"c50566d83fba17b20697039d5824db78","MØ","Never Wanna Know","October 2013"
"c50566d83fba17b20697039d5824db78","The Damned","New Rose","October 2013"
"c50566d83fba17b20697039d5824db78","Dido","No Freedom","October 2013"
"c50566d83fba17b20697039d5824db78","David & The Citizens","Now She Sleeps in a Box in the Good Soil of Denmark","October 2013"
"c50566d83fba17b20697039d5824db78","The Airborne Toxic Event","Numb","October 2013"
"c50566d83fba17b20697039d5824db78","Sarah Harmer","One Match","October 2013"
"c50566d83fba17b20697039d5824db78","The Growlers","One Million Lovers","October 2013"
"c50566d83fba17b20697039d5824db78","Arcade Fire","Porno","October 2013"
"c50566d83fba17b20697039d5824db78","The Naked And Famous","Rolling Waves","October 2013"
"c50566d83fba17b20697039d5824db78","Paper Route","Royals","October 2013"
"c50566d83fba17b20697039d5824db78","The Airborne Toxic Event","Safe","October 2013"
"c50566d83fba17b20697039d5824db78","Bear's Den","Sahara Pt. II","October 2013"
"c50566d83fba17b20697039d5824db78","Dido","Sand in My Shoes","October 2013"
"c50566d83fba17b20697039d5824db78","Vit Päls","Sexuella frigörelsen","October 2013"
"c50566d83fba17b20697039d5824db78","The Belle Brigade","Shirt","October 2013"
"c50566d83fba17b20697039d5824db78","Ida Redig","Shout","October 2013"
"c50566d83fba17b20697039d5824db78","Pearl Jam","Sirens","October 2013"
"c50566d83fba17b20697039d5824db78","The Chain Gang Of 1974","Sleepwalking","October 2013"
"c50566d83fba17b20697039d5824db78","The Goo Goo Dolls","Slide","October 2013"
"c50566d83fba17b20697039d5824db78","Daughter","Smoke","October 2013"
"c50566d83fba17b20697039d5824db78","Dire Straits","So Far Away - Full Version","October 2013"
"c50566d83fba17b20697039d5824db78","The Airborne Toxic Event","Sometime Around Midnight","October 2013"
"c50566d83fba17b20697039d5824db78","Bear's Den","Sophie","October 2013"
"c50566d83fba17b20697039d5824db78","Vit Päls","Sov hos mig inatt","October 2013"
"c50566d83fba17b20697039d5824db78","Cage The Elephant","Spiderhead","October 2013"
"c50566d83fba17b20697039d5824db78","Jonsi & Alex","Stokkseyri","October 2013"
"c50566d83fba17b20697039d5824db78","Dire Straits","Sultans Of Swing","October 2013"
"c50566d83fba17b20697039d5824db78","Patti Smith","Summer Cannibals","October 2013"
"c50566d83fba17b20697039d5824db78","Kings Of Leon","Supersoaker","October 2013"
"c50566d83fba17b20697039d5824db78","JAWS","Surround You","October 2013"
"c50566d83fba17b20697039d5824db78","The Belle Brigade","Sweet Louise","October 2013"
"c50566d83fba17b20697039d5824db78","Lorde","Swingin Party","October 2013"
"c50566d83fba17b20697039d5824db78","Dido","Thank You","October 2013"
"c50566d83fba17b20697039d5824db78","Simon & Garfunkel","The Boxer","October 2013"
"c50566d83fba17b20697039d5824db78","The Airborne Toxic Event","The Graveyard Near The House","October 2013"
"c50566d83fba17b20697039d5824db78","The Airborne Toxic Event","The Kids Are Ready To Die","October 2013"
"c50566d83fba17b20697039d5824db78","Nirvana","The Money Will Roll Right In - 1992/Live at Reading","October 2013"
